"Opportunity Name","New MRR (converted) Currency","New MRR (converted)","Net MRR (converted) Currency","Net MRR (converted)","Net TCV (converted) Currency","Net TCV (converted)","NRR (converted) Currency","NRR (converted)","Country of Origin","Account Name","Sales Type","TransactionTypeList","Opportunity Owner","Created Date","Close Date","Primary Campaign Purpose","Campaign Type","Campaign Name","Country of Origin","Created Date","Start Date","Opportunity Owner: Manager","Reporting Business Unit","Category","Sub-Category","Stage"
"SISTEMAS ELECTRONICOS Nuevo servicio IP 1Gbps","USD","844.47","USD","844.47","USD","10133.62","USD","0.00","Wholesale","SISTEMAS ELECTRONICOS Y TELECOMUNICACIONES S.A.S.","New Customer","New Service","Carolina Lasso","03-04-2023","03-27-2023","Lead Generation","Tradeshow","NETWORKS_Event_AndinaLink_Mar2023","Colombia","01-30-2023","03-07-2023","Cesar Lafaurie","Networks","Event","Partner/Sponsor","Closed Won"
"FIBER CLOUD Nuevo servicio IP 500 Mbps","USD","633.35","USD","633.35","USD","7727.87","USD","127.66","Wholesale","FIBER CLOUD S.A.S","New Customer","New Service","Carolina Lasso","03-13-2023","03-27-2023","Lead Generation","Tradeshow","NETWORKS_Event_AndinaLink_Mar2023","Colombia","01-30-2023","03-07-2023","Cesar Lafaurie","Networks","Event","Partner/Sponsor","Closed Won"
"GLOBAL PLAY New service IP 3Gbps Calle 31A","USD","1595.74","USD","1595.74","USD","19148.94","USD","0.00","Wholesale","GLOBAL PLAY SAS","New Customer","New Service","Carolina Lasso","02-22-2023","03-28-2023","Lead Generation","Tradeshow","NETWORKS_Event_AndinaLink_Mar2023","Colombia","01-30-2023","03-07-2023","Cesar Lafaurie","Networks","Event","Partner/Sponsor","Closed Won"
"SERVINET Nuevo IP 10Gbps Villavicencio","USD","4095.74","USD","4095.74","USD","49148.94","USD","0.00","Wholesale","SERVINET COMUNICACIONES S.A.S.","Upsale","New Service","Carlos Ramirez","10-30-2023","11-07-2023","Brand Awareness","Tradeshow","Networks_COL_SantaMarta_EXpoISP_2023","Colombia","09-11-2023","10-26-2023","","Networks","Event","Partner/Sponsor","Closed Won"
"SERVINET Nuevo IP 1Gbps  Cucuta","USD","404.26","USD","404.26","USD","4851.06","USD","0.00","Wholesale","SERVINET COMUNICACIONES S.A.S.","Upsale","New Service","Carlos Ramirez","11-07-2023","12-13-2023","Brand Awareness","Tradeshow","Networks_COL_SantaMarta_EXpoISP_2023","Colombia","09-11-2023","10-26-2023","","Networks","Event","Partner/Sponsor","Closed Won"
"GASECO_Enlace de Internet_Forti40F","USD","393.00","USD","393.00","USD","9432.00","USD","0.00","Honduras","GASES DE CENTROAMERICA EN HONDURAS,S.A. DE C.V","New Customer","New Service","Leticia Pamela Padilla","03-22-2024","04-19-2024","Lead Generation","Advertisement","LATAM_Hon_Web_Website Leads_Ent_Jan2024","Honduras","03-15-2024","01-01-2024","Luis Alcantara","LatAmENT","Website","General Forms","Closed Lost"
"LALA NIC // Upgrade E3 y nuevas Licencias Power Bi Pro","USD","494.44","USD","494.44","USD","5933.28","USD","0.00","Honduras","LALA NICARAGUA, SOCIEDAD ANONIMA","Upsale","New Service; Upgrade","Fanny Tabora","05-24-2024","06-27-2024","Sales Tracking","Advertisement","LATAM_Hon_Event_Microsoft Defender SPS_Ent_May2024","Honduras","03-01-2024","05-16-2024","Luis Alcantara","LatAmENT","Event","One-to-Few","Closed Won"
"Prolacsa // Licencia Power Bi Pro","USD","244.80","USD","244.80","USD","2937.60","USD","0.00","Honduras","Productos Lacteos de Centroamerica, S.A.","Upsale","New Service","Fanny Tabora","05-24-2024","07-11-2024","Sales Tracking","Advertisement","LATAM_Hon_Event_Microsoft Defender SPS_Ent_May2024","Honduras","03-01-2024","05-16-2024","Luis Alcantara","LatAmENT","Event","One-to-Few","Closed Won"
"Conectividad Oficinas  Fundacion Jose Maria Covelo","USD","500.00","USD","500.00","USD","12000.00","USD","0.00","Honduras","Fundación José María Covelo","New Customer","New Service","Luis Velasco","02-06-2023","08-30-2024","Lead Generation","Email","LATAM_HON_Enterprise_Oferta 1Mes Gratis Conectividad_2023","Honduras","03-06-2023","03-01-2023","Emerson Diaz","LatAmENT","Email","Offer","Solution Design"
"Coop. 15 de Septiembre - Conectividad","USD","100.00","USD","100.00","USD","3600.00","USD","0.00","Honduras","Cooperativa 15 de Septiembre","New Customer","New Service","Wilfredo Banegas","08-30-2023","01-03-2024","Lead Generation","Tradeshow","LATAM_HON_TGU_Patrocinio_Elga Transformacion Digital_Ent_Ago2023","Honduras","07-04-2023","08-25-2023","Emerson Diaz","LatAmENT","Event","Partner/Sponsor","Closed Lost"
