filename,timestamp,"Reporting Business Unit","Country of Origin","Campaign Name",Owner,"Campaign Type",Category,Sub-Category,"Primary Campaign Purpose","Num Sent in Campaign","Responses in Campaign","Created Date","Start Date","Product of Interest","Campaign Status","Budgeted Cost in Campaign (converted) Currency","Budgeted Cost in Campaign (converted)","Expected Revenue in Campaign (converted) Currency","Expected Revenue in Campaign (converted)","Opportunities in Campaign","Value Opportunities in Campaign Currency","Value Opportunities in Campaign","Won Opportunities in Campaign","Value Won Opportunities in Campaign Currency","Value Won Opportunities in Campaign","Actual Cost in Campaign (converted) Currency","Actual Cost in Campaign (converted)",ROI,"Campaign ID","SF Campaign Id"
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmSMB,Colombia,LATAM_COL_LEADSMID_2024,"Camila Rodriguez",Advertisement,,,"Lead Generation",0,0,04-09-2024,01-01-2024,"Cloud IT; Networking & Connectivity; Security","In Progress",USD,0.00,,,7,USD,74310.88,5,USD,69674.52,USD,0.00,,7014X000002ey2RQAQ,7014X000002ey2RQAQ
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_BOG_EVENT_EliteConnections_JUL2024,"Camila Rodriguez",Advertisement,Event,One-to-Few,"Lead Generation",0,0,04-01-2024,07-22-2024,"Cloud IT; Networking & Connectivity; Security",Planned,USD,6000.00,,,0,USD,0.00,0,USD,0.00,,,,7014X000002exhsQAA,7014X000002exhsQAA
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_CTG_EVENT_BreakfastMeetings_2024,"Camila Rodriguez",Advertisement,,,"Lead Generation",0,0,04-01-2024,08-08-2024,"Cloud IT; Networking & Connectivity; Security",Planned,USD,2000.00,,,0,USD,0.00,0,USD,0.00,,,,7014X000002exprQAA,7014X000002exprQAA
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_TELEMARKETING_Palmera_2023,"Camila Rodriguez",Telemarketing,"Call Center",,"Lead Generation",0,10,06-05-2023,01-01-2023,"Security; It Solution; Networking; UC&C","In Progress",,,,,10,USD,19530.87,0,USD,0.00,,,,7014X000002eerCQAQ,7014X000002eerCQAQ
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,col_prod_topaccounts_ent_2023,"Camila Rodriguez",Email,Email,"Offer Email","Lead Generation",117,0,02-08-2023,02-20-2023,"Security; It Solution; Networking",Completed,USD,4666.00,USD,0.00,0,USD,0.00,0,USD,0.00,USD,298.00,-100.0000000000,7014X000001ymMGQAY,7014X000001ymMGQAY
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_BOG_AUnaTorreDeDistancia_Ent_Mar2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Lead Generation",30,0,02-06-2023,03-01-2023,"Security; It Solution",Completed,USD,500.00,USD,1000.00,3,USD,10651.71,1,USD,1251.06,USD,455.00,174.9590834697,7014X000001ym7QQAQ,7014X000001ym7QQAQ
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmSMB,Colombia,LATAM_COL_MED_OnetoFewMed_Mid_Mar2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Sales Tracking",50,0,02-06-2023,03-02-2023,"Security; Networking",Completed,USD,2200.00,USD,3000.00,25,USD,433227.12,11,USD,82856.34,USD,2143.00,3766.3713426202,7014X000001ym7GQAQ,7014X000001ym7GQAQ
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_Prod_EMISProspecting_Ent_Feb2023,"Camila Rodriguez",Email,Email,"Offer Email",Other,3369,0,02-20-2023,02-20-2023,Networking,Completed,USD,200.00,USD,2000.00,0,USD,0.00,0,USD,0.00,USD,200.00,-100.0000000000,7014X000001ynS7QAI,7014X000001ynS7QAI
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,COL_Prod_ProspectingJulian_Ent_Feb2023,"Camila Rodriguez",Email,Email,"Offer Email","Lead Generation",2343,3,01-30-2023,02-06-2023,"Security; It Solution; Networking; UC&C",Completed,USD,200.00,USD,1000.00,3,USD,8228.94,2,USD,8228.94,USD,200.00,4014.4680851064,7014X000001ylagQAA,7014X000001ylagQAA
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_Info_RazonSocial_Ent_Jul2023,"Camila Rodriguez",Email,Email,"Offer Email",Other,542,1,07-14-2023,07-14-2023,"PUSH TO TALK",Completed,USD,200.00,USD,0.00,0,USD,0.00,0,USD,0.00,USD,200.00,-100.0000000000,7014X000002ehgRQAQ,7014X000002ehgRQAQ
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,NetworksRegional,Colombia,NETWORKS_Event_AndinaLink_Mar2024,"Camila Rodriguez",Advertisement,Event,Physical,"Lead Generation",0,259,01-30-2024,01-30-2024,"Networking & Connectivity",Completed,USD,19000.00,,,0,USD,0.00,0,USD,0.00,USD,15868.00,-100.0000000000,7014X000002zT3gQAE,7014X000002zT3gQAE
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_BOG_ENT_EDURODIZIO_MAR_2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Sales Tracking",20,15,04-28-2023,03-30-2023,"Security; Networking - Wifi",Completed,USD,500.00,USD,2000.00,3,USD,272312.26,0,USD,0.00,USD,125.00,-100.0000000000,7014X000002POkwQAG,7014X000002POkwQAG
"Detalle de Actividades MKT-2024-05-21-15-00-12.csv",05/21/2024,LatAmENT,Colombia,LATAM_COL_CAL_ENT_PANELMUJERES_APR_2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Brand Awareness",70,32,04-19-2023,05-18-2023,"PUSH TO TALK",Completed,USD,3500.00,USD,7500.00,5,USD,571458.06,4,USD,65926.15,USD,3567.00,1748.2239325734,7014X000002PO6cQAG,7014X000002PO6cQAG
